,NAME,RA,DEC,VMAG,DIST
4,Proxima Centauri,217.45,-62.68,11.05,4.24
5,Proxima Centauri b,217.45,-62.68,11.05,4.24
6,Alpha Centauri A,219.92,-60.84,0.01,4.36
7,Alpha Centauri B,219.91,-60.84,1.34,4.36
8,Alpha Centauri Bb,219.91,-60.84,,4.36
10,Barnard's Star,269.45,4.67,9.57,5.98
12,Luhman 16 A,162.31,-53.32,23.25,6.52
13,Luhman 16 B,162.31,-53.32,24.07,6.52
15,WISE J085510.83-071442.5,133.80,-7.24,,7.53
17,Wolf 359,164.12,7.01,13.53,7.78
19,Lalande 21185,165.84,35.98,7.47,8.29
21,Sirius A,101.29,-16.71,-1.43,8.58
22,Sirius B,101.29,-16.71,8.44,8.58
24,Luyten 726-8 A,24.76,-17.95,12.61,8.73
25,Luyten 726-8 B,24.76,-17.95,13.06,8.73
27,Ross 154,282.45,-23.84,10.44,9.67
29,Ross 248,355.48,44.18,12.29,10.31
31,Epsilon Eridani,53.24,-9.46,3.73,10.48
32,Epsilon Eridani b,53.24,-9.46,,10.48
33,Epsilon Eridani c,53.24,-9.46,,10.49
35,Lacaille 9352,346.45,-35.86,7.34,10.69
37,Ross 128,176.93,0.81,11.16,10.94
39,Luyten 789-6 A,339.64,-15.30,13.03,11.26
40,Luyten 789-6 B,339.64,-15.30,13.27,11.26
41,Luyten 789-6 C,339.64,-15.30,15.07,11.26
43,61 Cygni A,316.71,38.74,5.20,11.38
44,61 Cygni B,316.72,38.73,6.03,11.38
46,Procyon A,114.83,5.23,0.37,11.44
47,Procyon B,114.83,5.23,10.70,11.44
49,HD 173739,280.70,59.63,8.90,11.45
50,HD 173740,280.70,59.62,9.69,11.45
52,Groombridge 34 A,4.59,44.02,8.08,11.65
53,Groombridge 34 A b,4.59,44.02,,11.65
54,Groombridge 34 B,4.59,44.02,11.06,11.65
56,Epsilon Indi,330.82,-56.78,4.68,11.81
57,Epsilon Indi Ba,331.04,-56.78,,11.81
58,Epsilon Indi Bb,331.04,-56.78,,11.81
60,Gliese 1111,127.46,26.78,14.90,11.83
62,Tau Ceti,26.02,-15.94,3.49,11.91
64,Luyten 372-58,54.00,-44.51,13.09,11.99
66,Luyten 725-32,18.12,-17.00,12.10,12.12
68,Luyten's Star,111.85,5.23,9.85,12.25
70,SCR J1845-6357 A,281.27,-63.96,17.40,12.57
71,SCR J1845-6357 B,281.27,-63.96,,12.57
73,2MASS J02530084+1652532,43.25,16.88,15.14,12.57
75,Kapteyn's Star,77.90,-45.00,8.85,12.76
76,Kapteyn's Star b,77.90,-45.00,,12.76
77,Kapteyn's Star c,77.90,-45.00,,12.76
79,Lacaille 8760,319.32,-38.86,6.67,12.87
81,DENIS-P 104814.7-395606,162.06,-39.94,17.39,13.15
83,Kruger 60 A,337.00,57.70,9.79,13.15
84,Kruger 60 B,337.00,57.70,11.41,13.15
86,Ross 614 A,97.35,-2.81,11.18,13.34
87,Ross 614 B,97.35,-2.81,14.26,13.34
89,UGPS J072227.51-054031.2,110.61,-5.68,,13.43
91,WISEP J035000.32-565830.2,57.50,-56.98,,13.69  1
93,Wolf 1061,247.58,-12.66,10.10,13.92
94,Wolf 1061 b,247.58,-12.66,,13.92
95,Wolf 1061 c,247.58,-12.66,,13.92
96,Wolf 1061 d,247.58,-12.66,,13.92
98,Van Maanen's Star,12.29,5.40,12.40,14.02
100,HD 225213,1.33,-37.35,8.54,14.16
102,Wolf 424 A,188.32,9.02,13.25,14.30
103,Wolf 424 B,188.32,9.02,13.24,14.30
105,2MASS J15404341-5101357,235.18,-51.03,,14.31  1
107,Luyten 1159-16,30.05,13.05,12.31,14.51
109,LP 731-58,162.05,-11.34,15.73,14.81
111,Gliese 1245 A,298.48,44.42,13.46,14.81
112,Gliese 1245 B,298.48,44.42,16.75,14.81
113,Gliese 1245 C,298.48,44.42,14.01,14.81
115,BD+68 946,264.11,68.34,9.17,14.82
116,BD+68 946 b,264.11,68.34,,14.82
118,CD-46 11540,262.16,-46.89,9.37,14.82
119,CD-46 11540 b,262.16,-46.89,,14.82
121,Luyten 145-141,176.41,-64.84,11.50,15.12
123,Ross 780,343.32,-14.26,10.18,15.21
124,Ross 780 b,343.32,-14.26,,15.21
125,Ross 780 c,343.32,-14.26,,15.21
126,Ross 780 d,343.32,-14.26,,15.21
127,Ross 780 e,343.32,-14.26,,15.21
129,Gliese 1002,1.68,-7.54,13.77,15.31
131,Luyten 143-23,161.09,-61.21,13.92,15.55
133,WISEPC J140518.40+553421.4,211.33,55.57,,15.74  1
135,Lalande 21258 A,166.38,43.52,8.77,15.86
136,Lalande 21258 B,166.38,43.52,14.44,15.86
138,Groombridge 1618,152.85,49.46,6.59,15.87
140,BD+20 2465,154.90,19.87,9.29,15.94
142,DENIS J081730.0-615520,124.38,-61.92,,16.07
144,WISEA J163940.84-684739.4,249.92,-68.79,,16.12
146,LP 944-20,54.90,-35.43,18.69,16.19
148,DENIS-P J025503.5-470050,43.76,-47.01,22.92,16.20
150,Luyten 354-89,323.39,-49.01,8.66,16.22
151,Luyten 354-89 c,323.39,-49.01,,16.22
152,Luyten 354-89 b,323.39,-49.01,,16.22
154,Omicron2 Eridani A,63.82,-7.64,4.43,16.26
155,Omicron2 Eridani B,63.82,-7.64,9.52,16.26
156,Omicron2 Eridani C,63.82,-7.64,11.24,16.26
158,WISE J052126.29+102528.4,80.35,10.42,,16.31  2
160,BD+43 4305,341.71,44.34,10.22,16.46
162,CD-44 11909,264.27,-44.32,10.95,16.47
164,70 Ophiuchi A,271.36,2.50,4.21,16.64
165,70 Ophiuchi B,271.36,2.50,6.01,16.64
167,Altair,297.69,8.87,0.77,16.69
169,WISEPC J150649.97+702736.0,226.71,70.46,,16.89  1
171,Gliese 445,176.91,78.69,10.79,17.04
173,Gliese 1116 A,134.56,19.76,14.06,17.06
174,Gliese 1116 B,134.56,19.76,14.92,17.06
176,GJ 3379,90.01,2.71,11.31,17.10
178,GJ 3323,75.49,-6.95,12.22,17.36
180,2MASS J09393548-2448279,144.90,-24.81,,17.41
182,Wolf 498,206.43,14.90,8.46,17.66
184,Stein 2051 A,67.79,58.98,11.04,17.97
185,Stein 2051 B,67.79,58.98,12.43,17.97
187,Wolf 294,103.71,33.27,10.02,18.09
189,WISEP J174124.26+255319.5,265.35,25.89,,18.12
191,2MASS J11145133-2618235,168.71,-26.31,,18.20
193,2MASS J18353790+3259545,278.91,33.00,18.27,18.48
195,Wolf 1453,82.86,-3.67,7.95,18.53
197,Luyten 347-14,290.20,-45.56,12.23,18.60
199,2MASS J04151954-0935066,63.83,-9.59,,18.62
201,WISEP J154151.66-225025.2,235.47,-22.84,,18.63
203,LP 816-60,313.14,-16.97,11.50,18.63
205,Sigma Draconis,293.09,69.67,4.67,18.77
207,Luyten 668-21 A,92.64,-21.86,8.14,18.89
208,Luyten 668-21 B,92.64,-21.86,,18.89
210,Ross 47,85.53,12.49,11.57,19.02
212,Luyten 205-128,266.65,-57.32,10.76,19.06
214,Wolf 1055 A,289.23,5.17,9.10,19.08
215,Wolf 1055 B,289.24,5.15,17.45,19.05
216,Wolf 1055 Bb,289.24,5.15,,19.05
218,Lalande 27173 A,224.36,-21.41,5.64,19.12
219,Lalande 27173 B,224.36,-21.41,8.30,19.12
220,Lalande 27173 C,224.36,-21.41,9.96,19.12
221,Lalande 27173 D,224.31,-21.36,,19.12
223,WISEP J053516.80-750024.9,83.82,-75.01,,19.17  2
225,Lalande 46650,357.30,2.40,8.98,19.29
227,CD-40 9712,233.06,-41.27,9.31,19.33
229,TYC 3980-1081-1,327.91,59.29,10.64,19.33  2
231,36 Ophiuchi A,258.84,-26.60,5.07,19.35
232,36 Ophiuchi B,258.84,-26.60,5.08,19.35
233,36 Ophiuchi C,259.06,-26.54,6.32,19.47
235,Luyten 722-22 A,3.87,-16.13,11.60,19.37
236,Luyten 722-22 B,3.87,-16.13,14.02,19.37
238,Eta Cassiopeiae A,12.27,57.82,3.46,19.39
239,Eta Cassiopeiae B,12.27,57.82,7.21,19.39
241,WISE J200050.19+362950.1,300.21,36.50,,19.39  3
243,Ross 882,116.17,3.55,11.19,19.51
245,IPMS J013656.57+093347.3,24.24,9.56,,19.57
247,HD 191408 A,302.80,-36.10,5.31,19.62
248,HD 191408 B,302.80,-36.10,11.50,19.62
250,82 Eridani,49.97,-43.07,4.26,19.71
251,82 Eridani a,49.97,-43.07,,19.71
252,82 Eridani b,49.97,-43.07,,19.71
253,82 Eridani c,49.97,-43.07,,19.71
255,WISEP J025409.45+022359.1,43.54,2.40,,19.77
257,LP 44-113,267.03,70.88,14.22,19.80
259,Delta Pavonis,302.17,-66.18,3.55,19.92
261,Ross 986 A,107.51,38.53,12.05,19.96
262,Ross 986 B,107.51,38.53,12.45,19.96
264,2MASS J09373487+2931409,144.39,29.53,,19.97
266,HD 191849,303.47,-45.16,7.95,20.10
268,WISE J07200320-0846513 A,110.01,-8.78,19.4,20.22  1
269,WISE J07200320-0846513 B,110.01,-8.78,,20.22  1
271,WISEPA J041022.71+150248.5,62.59,15.05,,20.37
273,BD+19 5116 A,352.97,19.94,10.27,20.40
274,BD+19 5116 B,352.97,19.94,12.21,20.40
276,LHS 3003,224.16,-28.16,17.14,20.49
278,Wolf 1481,218.57,-12.52,11.32,20.50
280,HD 79210 A,138.60,52.69,7.64,20.52
281,HD 79210 B,138.60,52.69,7.70,20.52
283,Wolf 562,229.86,-7.72,10.55,20.56
284,Wolf 562 b,229.86,-7.72,,20.56
285,Wolf 562 c,229.86,-7.72,,20.56
286,Wolf 562 d,229.86,-7.72,,20.56
287,Wolf 562 e,229.86,-7.72,,20.56
289,SDSS J150319.64+252522.4,225.83,25.42,,20.75
291,LP 368-128,135.10,21.83,16.10,20.79
293,Luyten 471-42,189.71,-38.38,12.75,20.80
295,HD 155876 A,258.03,45.67,9.93,20.87
296,HD 155876 B,258.03,45.67,10.35,20.87
298,LP 658-2,88.79,-4.17,14.47,20.90
300,GJ 3959,247.83,40.86,14.76,20.91
302,LP 944-20,54.90,-35.43,18.69,20.92
